"filename", "language", "JSON", "Properties", "Markdown", "JavaScript", "TypeScript", "CSS", "HTML", "SCSS", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\login\login.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 24
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\login\login.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 11, 72
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-admins\manage-admins.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-admins\manage-admins.component.html", "HTML", 0, 0, 0, 0, 0, 0, 83, 0, 0, 8, 2, 93
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-admins\manage-admins.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-admins\manage-admins.component.ts", "TypeScript", 0, 0, 0, 0, 63, 0, 0, 0, 0, 8, 17, 88
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-customers\manage-customers.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-customers\manage-customers.component.html", "HTML", 0, 0, 0, 0, 0, 0, 232, 0, 0, 0, 3, 235
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-customers\manage-customers.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-customers\manage-customers.component.ts", "TypeScript", 0, 0, 0, 0, 185, 0, 0, 0, 0, 14, 25, 224
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-orders\manage-orders.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-orders\manage-orders.component.html", "HTML", 0, 0, 0, 0, 0, 0, 108, 0, 0, 9, 6, 123
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-orders\manage-orders.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-orders\manage-orders.component.ts", "TypeScript", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 27, 131
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-products\manage-products.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-products\manage-products.component.html", "HTML", 0, 0, 0, 0, 0, 0, 222, 0, 0, 14, 1, 237
"c:\xampp\htdocs\SwissTech\frontend\src\app\components\my-profile\admin-panel\manage-products\manage-products.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
